y,x.gdprate,x.govspend,x.tax,x.salav,x.infl,x.gdprate^2,x.govspend^2,x.tax^2,x.salav^2,x.infl^2,x.gdpr:govs,x.gdpr:tax,x.gdpr:salav,x.gdpr:infl,x.govs:tax,x.govs:salav,x.govs:infl,x.tax:salav,x.tax:infl,x.salav:infl
8.1,-0.593050903,1.064768835,0.96765238,1.71472774,1.632407972,-0.77552785,1.071543632,0.964210143,1.750070809,1.804395532,-0.384002903,-0.439500752,-0.526215274,0.519170016,1.023535727,1.505297906,2.013301767,1.47045941,1.932875738,1.716709564
8.4,-1.341704272,1.24342453,1.084526913,1.432692355,0.925377768,-1.110237812,1.277951136,1.095133874,1.452634835,0.777613267,-1.409377287,-1.413135249,-1.327681551,-0.942091957,1.193948956,1.610533299,1.317726627,1.502071034,1.220028876,0.98344626
9.8,-0.9923327,1.324631665,1.2793178,1.029784662,0.247807155,-0.994348987,1.373231567,1.316939371,1.032419898,0.007724635,-0.904638207,-0.929707149,-0.969150761,-0.702216121,1.349550682,1.579804478,0.595039015,1.571399309,0.539478023,0.283596327
10.2,-0.842602026,1.357114518,1.298796889,0.626876969,-0.194086723,-0.923088156,1.411599037,1.339367371,0.617726839,-0.381478133,-0.68575943,-0.724731465,-0.825518318,-0.739627949,1.380367513,1.498481301,0.111439775,1.461870982,0.058799261,-0.171069641
10.4,-0.543140679,1.275907384,1.201401445,-0.380392263,-0.341384682,-0.741696951,1.315953895,1.227677281,-0.394847591,-0.491405633,-0.272457604,-0.335114987,-0.558890279,-0.572375072,1.277071439,1.135361848,-0.069310037,1.045901332,-0.120190672,-0.363883104
10.5,-0.642961128,1.19470025,1.2793178,-0.702718417,-1.018955295,-0.807919137,1.221220528,1.316939371,-0.711582529,-0.869516618,-0.429246002,-0.457124323,-0.670191664,-1.021317004,1.268937252,0.967846491,-0.826963389,1.017445696,-0.849250391,-1.005564781
10,0.405153587,1.048527408,1.162443268,-1.145916879,-0.989495703,0.174616557,1.052998139,1.183316181,-1.141322706,-0.857434496,0.993262254,0.925648145,0.327255854,-0.527627592,1.116573014,0.708058111,-0.812129439,0.766777418,-0.829016746,-0.991375541
9.4,0.155602465,0.88611314,1.065047824,-1.589115342,-0.871657335,-0.116905023,0.869549117,1.073200775,-1.564381411,-0.805144658,0.596535978,0.566398436,0.057050761,-0.529828288,0.96663689,0.437601202,-0.707294547,0.537399129,-0.712738141,-0.898954766
8.9,-0.642961128,0.967320274,1.104006001,-1.387661495,-0.989495703,-0.807919137,0.960817741,1.117111965,-1.372910281,-0.857434496,-0.471092472,-0.483966377,-0.695918931,-1.005178569,1.036263098,0.566792092,-0.821790205,0.636398871,-0.835047929,-0.998470161
9.4,-1.191973598,1.016044555,1.065047824,-1.387661495,-0.989495703,-1.069208849,1.016016567,1.073200775,-1.372910281,-0.857434496,-1.218350868,-1.216157955,-1.22257122,-1.255324318,1.045469702,0.611976444,-0.815993745,0.600389558,-0.839068717,-0.998470161
10.2,-0.792691802,1.129734543,1.026089646,-1.709987649,-1.048414886,-0.89645532,1.146090312,1.029469549,-1.678601463,-0.881202604,-0.650298622,-0.693144604,-0.850007375,-1.101275616,1.093688026,0.628595975,-0.86641671,0.464009458,-0.905995387,-1.060414585
11.2,-2.09035764,1.275907384,1.12348509,-1.790569188,-1.048414886,-1.121034907,1.315953895,1.139135046,-1.75447207,-0.881202604,-2.47102767,-2.407375767,-2.079550611,-1.654383813,1.234822232,0.739998773,-0.850149227,0.527646606,-0.896591931,-1.062626886
